id,name
cg-3,(+) Cereals
cg-4,(+) Legumes
cg-6,(+) Other crops
cg-5,"(+) Roots, tubers and bananas (RTBs)"
cg-7,(+) Vegetables
crop-2,Barley
crop-13,Maize
crop-18,Rice
crop-19,Sorghum
crop-26,Millet
crop-27,Wheat
crop-3,Beans
crop-5,Chickpea
crop-6,Cowpea
crop-8,Faba bean
crop-10,Grasspea
crop-11,Groundnut
crop-12,Lentil
crop-15,Pigeonpea
crop-20,Soybean
crop-25,Forages
crop-1,Banana
crop-4,Cassava
crop-17,Potato
crop-22,Sweetpotato
crop-24,Yam
crop-31,Taro
crop-29,Tomato
crop-30,Pepper
