name,value
,2
01 Farmer - Higher Productivity,387
02 Farmer - Higher fodder yield or value,55
03 Farmer - Less Loss & Risk - CC relevant stress,199
04 Farmer - Less Loss & Risk - Biotic stress,260
05 Farmer - Less Loss @ Location,21
06 Farmer - Less Loss - Other,33
07 Farmer - Greater fertilizer use efficiency,25
08 Farmer - Less labor,23
09 Farmer - Appropriate maturity,20
10 Farmer - Longer storage,2
11 User - Less labor,12
12 User - Meeting end-user requirements,87
13 User - Better nutrition and/or health,53
14 Multiplier - Easier to multiply,23
15 Other,3
